Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"MRERD Mortgage Repayments (monthly) Ranges","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,799","$2,800-$2,999","$3,000-$3,499","$3,500-$3,999","$4,000-$4,999","$5,000 and over","Not stated","Not applicable","Nil repayments","Total",
"Northern Beaches",290,219,381,329,479,640,829,942,907,1038,818,2155,1004,1213,1335,967,3942,2240,4780,7469,2374,68159,1226,103736,
"Oberon",4,6,3,22,35,44,65,76,75,57,43,68,25,22,32,12,39,9,13,12,47,1755,20,2484,
"Orange",29,43,88,88,221,298,411,580,610,701,502,553,243,126,249,105,278,87,132,103,284,12362,100,18196,
"Parkes",16,16,51,62,130,185,224,240,142,136,58,141,31,22,41,10,52,10,25,17,109,4461,70,6260,
"Parramatta",245,179,304,274,432,650,802,1162,1277,1582,1407,3072,1621,1808,1642,1028,3335,1556,2490,2258,1960,72949,1035,103078,
"Penrith",173,189,358,307,590,850,1182,1574,1786,2357,1917,3615,2066,1730,2404,1430,3229,945,1154,954,1971,51775,748,83306,
"Port Macquarie-Hastings",97,108,230,199,359,487,619,746,814,995,778,1159,519,292,544,227,565,147,229,158,501,28963,282,39026,
"Port Stephens",73,114,194,156,383,430,593,806,729,933,612,1084,454,319,493,253,602,183,241,165,587,22749,258,32421,
"Queanbeyan-Palerang",92,72,144,140,241,362,467,589,612,798,666,1099,638,504,742,422,1209,447,511,386,547,15160,195,26039,
"Randwick",128,72,125,110,171,260,343,312,357,407,270,817,312,422,482,336,1362,729,1473,2891,951,43657,587,56566,
"Richmond Valley",31,47,75,81,166,258,299,398,253,261,158,206,87,41,82,48,78,22,30,29,163,7576,72,10463,
"Ryde",157,99,160,139,233,314,438,479,510,577,592,1397,657,783,763,440,1708,769,1679,2119,1118,38086,669,53900,
"Shellharbour",75,112,160,146,255,352,428,671,649,805,726,1393,718,446,855,430,925,267,362,209,644,19599,245,30477,
"Shoalhaven",155,174,318,259,462,694,826,1099,958,1167,884,1208,592,341,613,257,719,201,331,313,789,35930,436,48730,
