Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$474","$475-$499","$500-$524","$525-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Lockhart",11,9,7,8,20,20,33,14,31,7,8,0,6,0,0,0,7,0,0,0,0,0,0,0,4,12,1172,1367,
"Maitland",36,30,145,82,165,432,370,324,621,343,806,578,1153,755,1180,803,1010,462,446,126,388,62,15,5,15,401,25342,36088,
"Mid-Coast",59,42,153,116,335,504,644,452,850,659,1090,650,1056,567,784,277,471,194,207,50,202,51,6,9,44,412,35462,45345,
"Mid-Western",26,16,55,36,78,116,163,93,191,127,287,110,252,140,216,82,179,79,115,21,75,18,0,10,11,125,8622,11241,
"Moree Plains",40,41,67,55,201,171,207,60,148,76,114,30,102,19,49,7,35,15,11,0,15,4,3,3,3,188,4052,5709,
"Mosman",10,4,14,6,18,32,30,12,28,15,24,30,87,106,217,140,248,161,262,136,649,419,286,202,700,113,8420,12368,
"Murray River",37,10,44,38,91,48,84,29,107,49,84,35,84,24,39,12,46,21,18,8,13,0,0,0,14,99,4562,5585,
"Murrumbidgee",22,12,26,16,30,41,52,14,35,7,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,1190,1529,
"Muswellbrook",20,9,39,30,72,162,166,103,229,138,250,135,227,140,241,78,73,23,18,5,9,9,3,5,3,116,4643,6947,
"Nambucca Valley",26,18,61,43,67,190,189,96,146,129,213,119,230,110,163,36,77,32,39,5,25,11,5,0,10,104,7532,9679,
"Narrabri",45,17,86,35,119,96,209,50,151,72,123,43,135,69,86,10,25,4,13,0,10,5,3,0,6,120,4072,5603,
"Narrandera",18,17,46,31,49,63,100,31,88,28,41,0,7,3,6,0,0,0,0,0,0,0,0,0,0,36,1907,2476,
"Narromine",10,15,38,28,45,31,61,40,81,40,74,16,30,5,16,0,5,0,0,0,0,0,4,0,7,50,2097,2701,
"Newcastle",161,252,1323,409,571,544,785,535,854,572,1440,908,1983,1539,2511,1227,2064,1229,1622,649,2344,872,393,171,262,824,46704,72746,
"North Sydney",30,27,102,55,72,183,112,70,115,101,246,194,481,498,893,491,971,701,1099,601,3247,2357,1588,955,1802,417,17232,34645,
"Northern Beaches",82,91,252,119,170,393,343,174,242,143,351,176,409,342,692,427,942,809,1577,900,4852,3608,2497,1825,4736,873,76720,103736,
"Oberon",3,5,31,19,29,11,40,8,51,26,76,26,43,10,26,0,7,0,5,0,6,0,0,0,0,36,2023,2484,
"Orange",34,58,192,124,160,193,302,234,418,387,538,292,552,331,456,237,407,157,165,36,161,33,15,5,37,307,12365,18196,
"Parkes",20,27,103,68,127,119,185,102,169,102,190,64,104,48,61,14,20,8,9,4,13,5,0,0,0,85,4602,6260,
"Parramatta",163,292,1216,392,518,441,681,406,849,616,1633,1047,2615,2192,4611,2376,4574,2643,4722,1876,6305,2185,1057,453,361,1353,57490,103078,
"Penrith",125,188,688,274,381,488,531,364,965,802,1559,1085,2527,2215,3584,1611,2362,948,1533,623,2129,535,178,77,111,930,56502,83306,
"Port Macquarie-Hastings",52,36,106,105,161,437,290,344,439,369,776,473,1030,609,1021,582,831,437,485,175,584,184,55,23,47,358,29020,39026,
"Port Stephens",33,22,99,108,127,265,256,203,558,333,679,411,744,527,744,385,580,294,431,141,459,160,32,11,24,302,24495,32421,
"Queanbeyan-Palerang",31,46,183,63,153,160,324,248,516,259,576,272,558,256,425,196,419,213,358,99,503,331,163,26,23,228,19403,26039,
"Randwick",130,227,1142,336,339,352,377,216,292,203,446,230,540,434,1008,481,1249,824,1746,805,4789,3034,1778,1056,2303,796,31420,56566,
"Richmond Valley",17,18,68,54,115,134,213,130,244,177,307,155,274,99,158,48,62,20,39,4,35,16,0,0,5,92,7973,10463,
"Ryde",58,48,171,115,239,431,323,239,369,311,897,558,1267,928,1870,1107,1819,906,1503,674,3655,1668,754,382,538,692,32377,53900,
"Shellharbour",50,68,438,143,227,205,288,142,215,167,379,196,369,323,698,416,746,409,584,266,1018,279,55,13,33,296,22449,30477,
"Shoalhaven",61,48,175,131,243,475,556,356,803,492,1079,660,1283,782,1050,447,753,332,471,132,358,112,38,18,59,509,37318,48730,
"Singleton",16,12,36,21,57,117,129,83,197,99,256,92,242,149,244,81,136,57,77,13,69,20,6,4,7,109,7391,9726,
"Snowy Monaro",31,29,56,41,103,94,134,107,229,112,207,74,133,68,136,34,93,27,92,15,84,56,56,20,228,249,7819,10331,
"Snowy Valleys",28,19,107,44,141,108,184,119,192,88,138,42,83,39,37,4,11,4,6,0,4,10,3,0,12,129,5014,6560,
"Strathfield",15,42,196,97,95,100,131,75,113,57,210,110,382,345,870,398,873,486,968,323,1102,393,187,84,155,324,9901,18035,
"Sutherland",88,107,631,169,201,213,245,142,316,190,412,262,640,555,1395,913,1630,882,1390,519,3275,2022,1254,656,840,582,70545,90062,
"Sydney",318,659,2406,622,724,710,811,536,910,740,1505,879,1780,1300,2711,1445,3331,2210,4300,1656,11962,9549,5461,2912,5191,1942,42834,109407,
"Tamworth",50,63,140,110,250,400,607,443,827,660,986,671,936,485,458,145,190,81,95,17,84,36,12,8,19,349,18998,27128,
"Temora",11,23,46,23,60,32,69,45,81,52,68,12,28,7,3,0,0,0,0,0,0,0,0,0,0,39,2078,2668,
"Tenterfield",6,4,22,22,53,43,69,54,94,38,45,19,35,5,7,0,0,0,0,0,0,0,0,0,6,53,2802,3389,
"The Hills",34,14,57,31,59,54,100,54,140,55,173,82,243,185,533,269,622,460,1033,616,3679,2332,984,490,469,402,52925,66085,
"Tweed",51,48,381,123,220,192,314,197,374,243,586,319,788,486,811,418,666,418,608,231,1131,585,255,134,184,413,33248,43429,
"Upper Hunter",20,9,50,47,75,89,130,84,169,113,181,67,91,49,62,16,29,4,29,0,5,7,4,0,9,127,4812,6281,
"Upper Lachlan",4,8,24,12,34,15,32,21,49,15,63,15,39,12,25,4,13,0,0,0,0,8,7,0,0,50,3351,3798,
"Uralla",12,0,15,17,23,49,50,20,53,22,55,14,22,11,11,0,9,4,4,0,6,0,0,0,0,27,2184,2609,
"Wagga Wagga",57,96,324,151,317,501,690,404,902,628,1103,553,778,430,513,230,338,147,121,31,117,24,9,4,29,344,18882,27717,
"Walcha",6,4,30,16,26,16,36,22,29,17,10,0,0,0,0,4,0,0,0,0,0,0,0,0,4,37,1117,1373,
"Walgett",110,25,32,16,66,59,86,40,57,11,19,0,7,0,0,0,4,0,4,0,0,0,0,0,3,92,1973,2612,
"Warren",3,8,20,8,19,23,55,9,30,22,15,0,12,6,0,0,0,0,5,0,0,0,0,0,0,24,867,1121,
"Warrumbungle",26,29,66,44,108,59,133,54,79,33,37,8,9,0,0,0,0,0,3,0,5,0,3,0,0,96,3455,4267,
"Waverley",30,36,176,47,49,50,86,40,81,53,190,115,225,181,387,201,385,317,665,297,2333,2349,1684,1160,2538,429,16110,30215,
"Weddin",25,3,27,11,40,23,56,34,27,3,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,1396,1675,
"Wentworth",32,5,45,21,60,68,102,31,58,24,30,13,18,4,7,6,4,0,0,0,5,6,0,0,0,46,2548,3119,
"Willoughby",43,9,73,58,56,127,102,79,120,68,153,95,218,193,451,276,599,468,941,472,2227,1215,896,579,1409,376,18806,30112,
"Wingecarribee",11,13,50,31,73,165,152,68,164,98,228,108,242,164,365,167,337,151,303,99,581,243,108,57,94,209,18526,22794,
"Wollondilly",15,7,31,20,49,89,88,44,98,43,184,115,235,173,348,154,276,131,211,81,342,117,59,17,30,149,16548,19650,
"Wollongong",237,327,1796,618,727,648,906,532,978,730,1499,905,1863,1210,2153,990,1844,1052,1634,604,2768,1019,420,192,173,883,61869,88580,
"Woollahra",21,7,48,24,29,24,36,36,62,61,149,88,144,136,245,121,307,164,334,170,1242,1072,822,565,2274,240,15316,23753,
"Yass Valley",7,8,40,11,24,35,43,18,45,46,92,54,87,73,88,19,57,29,45,13,62,38,16,5,11,81,5726,6765,
"Unincorporated NSW",5,0,5,0,6,8,3,3,13,3,5,0,5,3,8,0,7,0,0,0,5,0,0,0,4,23,426,538,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,
"Total",6026,7478,31876,13031,21123,24437,31009,19465,36786,25209,53213,30127,64985,45399,79893,38372,68933,37104,63690,24697,118550,63474,33220,18112,34206,38645,2244761,3273823,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
