Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by FINF Total Family Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FINF Total Family Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Negative income","Total",
"Northern Beaches",244,224,214,685,713,2013,1940,2817,3499,2839,3179,7325,6127,5921,4370,2688,6638,6258,6907,2825,119,67545,
"Oberon",15,11,13,51,33,108,92,92,107,81,94,187,122,101,67,28,37,31,20,6,10,1296,
"Orange",46,44,80,181,252,663,610,702,800,661,664,1471,1168,911,613,303,457,337,239,84,20,10303,
"Parkes",17,23,30,116,111,303,234,286,294,193,240,435,363,261,136,63,113,49,39,15,12,3337,
"Parramatta",389,377,455,1132,1202,2805,2884,3804,4650,3788,4020,9530,6733,6086,4182,2303,3844,2770,2430,619,186,64178,
"Penrith",184,264,352,932,1197,3010,2797,3342,4077,3441,3638,8377,6453,5171,3362,1809,2107,1715,1047,258,190,53752,
"Port Macquarie-Hastings",143,142,163,563,634,2403,1913,2168,2531,1467,1510,2848,1967,1400,804,408,573,434,287,122,69,22556,
"Port Stephens",119,95,141,445,544,1821,1512,1813,1934,1252,1225,2619,1809,1400,815,414,563,406,242,106,76,19358,
"Queanbeyan-Palerang",44,59,70,186,225,506,565,675,852,756,892,2062,1753,1690,1316,822,1342,958,973,274,24,16047,
"Randwick",133,147,157,415,424,1118,1032,1338,1597,1185,1423,3475,2927,2853,2147,1278,2772,2468,3145,1239,69,31329,
"Richmond Valley",53,26,62,159,218,664,538,606,593,432,404,712,446,280,145,69,67,54,26,27,24,5609,
"Ryde",208,203,182,568,505,1351,1285,1647,2077,1612,1666,4346,3335,3005,2233,1208,2366,1949,1993,642,83,32464,
"Shellharbour",80,94,124,444,524,1641,1412,1460,1648,1218,1317,2841,2206,1790,1077,556,644,501,312,82,46,20023,
"Shoalhaven",185,171,194,747,862,3047,2327,2742,2992,1877,1927,3516,2335,1597,953,467,620,456,305,166,97,27585,
"Singleton",31,33,40,136,123,339,294,353,418,310,333,797,654,588,429,192,360,253,186,50,33,5940,
"Snowy Monaro",24,25,22,97,112,343,293,333,431,288,312,735,532,453,258,119,198,149,115,44,17,4896,
"Snowy Valleys",25,26,25,120,119,354,273,302,342,219,248,478,352,235,124,75,76,58,42,23,11,3534,
"Strathfield",55,67,72,160,221,491,469,647,762,636,700,1485,1024,924,627,351,563,501,550,304,39,10642,
"Sutherland",285,224,198,794,812,2314,2255,2984,3616,2702,3052,7294,6341,6200,4683,2783,4527,4265,3819,1183,137,60488,
"Sydney",191,202,230,518,553,1189,1290,1643,2147,1761,1998,5155,4094,4008,3117,1876,4304,3288,4435,1708,64,43761,
"Tamworth",84,94,115,372,418,1311,1060,1291,1431,957,1157,2316,1509,1141,567,329,387,289,189,94,81,15189,
"Temora",8,10,8,53,39,151,112,137,147,101,122,179,133,97,52,27,35,26,8,14,9,1465,
"Tenterfield",20,22,22,85,95,244,157,177,177,100,105,167,94,55,34,16,22,15,8,14,8,1609,
"The Hills",319,230,198,661,625,1616,1559,2009,2547,2044,2329,5645,4875,4944,3879,2541,4664,4175,4096,1285,110,50354,
"Tweed",156,137,163,589,642,2316,1964,2225,2507,1596,1630,3207,2164,1593,886,425,659,481,306,129,79,23859,
"Upper Hunter",27,30,29,85,99,301,204,242,314,194,205,481,346,283,176,91,131,71,52,22,24,3417,
"Upper Lachlan",21,19,16,51,53,160,137,141,207,137,165,315,192,151,100,54,84,50,47,23,12,2140,
"Uralla",11,8,14,41,36,162,123,121,146,103,113,236,122,103,59,33,35,29,26,7,3,1531,
"Wagga Wagga",59,90,102,331,404,940,870,1156,1382,974,1198,2445,1773,1396,826,431,513,401,292,143,38,15764,
"Walcha",3,11,3,26,8,77,53,62,78,45,46,116,67,30,21,12,12,13,18,16,13,723,
